experiment,t1_cmdline,t2_frame_slot,duration_sec
1,2026-05-19 12:34:08.913,2026-05-19 12:34:15.680,6.767
2,2026-05-19 12:34:21.023,2026-05-19 12:34:27.694,6.671
3,2026-05-19 12:34:33.262,2026-05-19 12:34:39.707,6.445
4,2026-05-19 12:34:43.474,2026-05-19 12:34:49.719,6.245
5,2026-05-19 12:34:52.564,2026-05-19 12:34:58.732,6.168
6,2026-05-19 12:35:03.444,2026-05-19 12:35:09.744,6.300
7,2026-05-19 12:35:13.721,2026-05-19 12:35:19.757,6.036
8,2026-05-19 12:35:23.243,2026-05-19 12:35:29.770,6.527
9,2026-05-19 12:35:34.504,2026-05-19 12:35:40.783,6.279
10,2026-05-19 12:35:43.433,2026-05-19 12:35:49.796,6.363
11,2026-05-19 12:35:52.257,2026-05-19 12:35:58.810,6.553
12,2026-05-19 12:36:02.822,2026-05-19 12:36:08.393,5.571
13,2026-05-19 12:37:15.985,2026-05-19 12:37:21.405,5.420
14,2026-05-19 12:37:29.816,2026-05-19 12:37:35.419,5.603
15,2026-05-19 12:37:43.889,2026-05-19 12:37:49.430,5.541
16,2026-05-19 12:37:57.903,2026-05-19 12:38:03.444,5.541
17,2026-05-19 12:38:11.916,2026-05-19 12:38:17.456,5.540
18,2026-05-19 12:38:25.902,2026-05-19 12:38:31.470,5.568
19,2026-05-19 12:38:39.915,2026-05-19 12:38:45.481,5.566
20,2026-05-19 12:38:53.964,2026-05-19 12:38:59.495,5.531
21,2026-05-19 12:39:07.949,2026-05-19 12:39:13.508,5.559
22,2026-05-19 12:39:21.964,2026-05-19 12:39:27.520,5.556
23,2026-05-19 12:39:35.955,2026-05-19 12:39:41.533,5.578
24,2026-05-19 12:39:49.982,2026-05-19 12:39:55.547,5.565
25,2026-05-19 12:40:04.030,2026-05-19 12:40:09.559,5.529
26,2026-05-19 12:40:18.014,2026-05-19 12:40:23.572,5.558
27,2026-05-19 12:40:32.061,2026-05-19 12:40:37.585,5.524
28,2026-05-19 12:40:46.069,2026-05-19 12:40:51.597,5.528
29,2026-05-19 12:41:00.087,2026-05-19 12:41:05.613,5.526
30,2026-05-19 12:41:14.076,2026-05-19 12:41:19.623,5.547
31,2026-05-19 12:41:28.105,2026-05-19 12:41:33.636,5.531
32,2026-05-19 12:41:42.118,2026-05-19 12:41:47.648,5.530
33,2026-05-19 12:41:56.128,2026-05-19 12:42:01.661,5.533
34,2026-05-19 12:42:10.159,2026-05-19 12:42:15.674,5.515
35,2026-05-19 12:42:24.173,2026-05-19 12:42:29.688,5.515
36,2026-05-19 12:42:38.166,2026-05-19 12:42:43.702,5.536
37,2026-05-19 12:42:52.211,2026-05-19 12:42:57.712,5.501
38,2026-05-19 12:43:06.212,2026-05-19 12:43:11.726,5.514
39,2026-05-19 12:43:20.217,2026-05-19 12:43:25.739,5.522
40,2026-05-19 12:43:34.158,2026-05-19 12:43:39.753,5.595
41,2026-05-19 12:43:48.167,2026-05-19 12:43:53.764,5.597
42,2026-05-19 12:44:02.183,2026-05-19 12:44:07.777,5.594
43,2026-05-19 12:44:16.199,2026-05-19 12:44:21.790,5.591
44,2026-05-19 12:44:30.285,2026-05-19 12:44:35.802,5.517
45,2026-05-19 12:44:44.208,2026-05-19 12:44:49.816,5.608
46,2026-05-19 12:44:58.234,2026-05-19 12:45:03.828,5.594
47,2026-05-19 12:45:12.289,2026-05-19 12:45:17.842,5.553
48,2026-05-19 12:45:26.329,2026-05-19 12:45:31.854,5.525
49,2026-05-19 12:45:40.374,2026-05-19 12:45:45.866,5.492
